Agency,variable,value,binary
Department of Veterans Affairs,Live,0,Yes
Department of Veterans Affairs,Redirect,6,Yes
Department of Veterans Affairs,Strictly Forces HTTPS,7,Yes
Department of Veterans Affairs,Valid HTTPS,7,Yes
Department of the Interior,Broken Root,62,Yes
Department of the Interior,Broken WWW,86,Yes
Department of the Interior,Defaults to HTTPS,83,Yes
Department of the Interior,Downgrades HTTPS,84,Yes
Department of the Interior,HSTS,87,Yes
Department of the Interior,HSTS All Subdomains,87,Yes
Department of the Interior,HSTS Preload Ready,87,Yes
Department of the Interior,HTTPS Bad Chain,56,Yes
Department of the Interior,HTTPS Bad Hostname,87,Yes
Department of the Interior,Live,1,Yes
Department of the Interior,Redirect,80,Yes
Department of the Interior,Strictly Forces HTTPS,85,Yes
Department of the Interior,Valid HTTPS,63,Yes
Department of the Treasury,Broken Root,80,Yes
Department of the Treasury,Broken WWW,86,Yes
Department of the Treasury,Defaults to HTTPS,77,Yes
Department of the Treasury,Downgrades HTTPS,92,Yes
Department of the Treasury,HSTS,95,Yes
Department of the Treasury,HSTS All Subdomains,95,Yes
Department of the Treasury,HSTS Preload Ready,95,Yes
Department of the Treasury,HTTPS Bad Chain,54,Yes
Department of the Treasury,HTTPS Bad Hostname,95,Yes
Department of the Treasury,Live,8,Yes
Department of the Treasury,Redirect,83,Yes
Department of the Treasury,Strictly Forces HTTPS,74,Yes
Department of the Treasury,Valid HTTPS,79,Yes
Director of National Intelligence,Broken Root,9,Yes
Director of National Intelligence,Broken WWW,12,Yes
Director of National Intelligence,Defaults to HTTPS,15,Yes
Director of National Intelligence,Downgrades HTTPS,15,Yes
Director of National Intelligence,HSTS,15,Yes
Director of National Intelligence,HSTS All Subdomains,15,Yes
Director of National Intelligence,HSTS Preload Ready,15,Yes
Director of National Intelligence,HTTPS Bad Chain,11,Yes
Director of National Intelligence,HTTPS Bad Hostname,15,Yes
Director of National Intelligence,Live,3,Yes
Director of National Intelligence,Redirect,14,Yes
Director of National Intelligence,Strictly Forces HTTPS,14,Yes
Director of National Intelligence,Valid HTTPS,13,Yes
Environmental Protection Agency,Broken Root,13,Yes
Environmental Protection Agency,Broken WWW,17,Yes
Environmental Protection Agency,Defaults to HTTPS,16,Yes
Environmental Protection Agency,Downgrades HTTPS,17,Yes
Environmental Protection Agency,HSTS,17,Yes
Environmental Protection Agency,HSTS All Subdomains,17,Yes
Environmental Protection Agency,HSTS Preload Ready,17,Yes
Environmental Protection Agency,HTTPS Bad Chain,14,Yes
Environmental Protection Agency,HTTPS Bad Hostname,17,Yes
Environmental Protection Agency,Live,0,Yes
Environmental Protection Agency,Redirect,14,Yes
Environmental Protection Agency,Strictly Forces HTTPS,16,Yes
Environmental Protection Agency,Valid HTTPS,15,Yes
Equal Employment Opportunity Commission,Broken Root,1,Yes
Equal Employment Opportunity Commission,Broken WWW,1,Yes
Equal Employment Opportunity Commission,Defaults to HTTPS,1,Yes
Equal Employment Opportunity Commission,Downgrades HTTPS,1,Yes
Equal Employment Opportunity Commission,HSTS,1,Yes
Equal Employment Opportunity Commission,HSTS All Subdomains,1,Yes
Equal Employment Opportunity Commission,HSTS Preload Ready,1,Yes
Equal Employment Opportunity Commission,HTTPS Bad Chain,1,Yes
